episode,reward
37000,-0.04
37100,-0.04
37200,-0.16
37300,-0.16
37400,0.36
37500,-0.12
37600,0.16
37700,-0.04
37800,0.0
37900,-0.12
38000,-0.16
38100,0.32
38200,0.28
38300,0.2
38400,-0.08
38500,0.04
38600,0.16
38700,0.0
38800,0.24
38900,-0.16
39000,-0.32
39100,-0.32
39200,0.08
39300,0.0
39400,-0.08
39500,-0.16
39600,0.04
39700,0.0
39800,0.12
39900,-0.08
40000,-0.12
40100,0.0
40200,0.0
40300,-0.28
40400,-0.12
40500,0.04
40600,-0.2
40700,0.0
40800,-0.36
40900,-0.04
41000,-0.08
41100,-0.04
41200,-0.2
41300,-0.08
41400,0.04
41500,-0.2
41600,-0.32
41700,0.0
41800,0.44
41900,-0.04
42000,-0.16
42100,-0.12
42200,-0.12
42300,0.12
42400,0.32
42500,-0.28
42600,0.24
42700,-0.08
42800,-0.24
42900,-0.2
43000,-0.2
43100,-0.16
43200,-0.4
43300,0.16
43400,-0.16
43500,-0.2
43600,-0.32
43700,-0.28
43800,-0.04
43900,0.28
44000,-0.12
44100,0.24
44200,-0.08
44300,-0.2
44400,0.44
44500,0.04
44600,-0.36
44700,-0.24
44800,0.08
44900,-0.04
45000,0.0
45100,-0.04
45200,-0.16
45300,-0.16
45400,0.04
45500,-0.12
45600,-0.32
45700,0.28
45800,-0.04
45900,0.04
46000,-0.4
46100,0.12
46200,0.24
46300,-0.52
46400,-0.2
46500,0.28
46600,-0.2
46700,-0.24
46800,-0.2
46900,-0.08
47000,-0.32
47100,-0.4
47200,-0.4
47300,-0.28
47400,-0.32
47500,-0.16
47600,-0.08
47700,-0.12
47800,0.08
47900,-0.2
48000,-0.2
48100,0.0
48200,-0.16
48300,-0.32
48400,-0.08
48500,-0.04
48600,-0.16
48700,-0.32
48800,0.12
48900,0.2
49000,0.28
49100,0.08
49200,-0.2
49300,-0.08
49400,0.0
49500,-0.32
49600,0.08
49700,-0.36
49800,0.16
49900,0.08
