episode,reward
37300,-6.06
37400,5.82
37500,5.82
37600,-9.28
37700,1.66
37800,-6.24
37900,-3.96
38000,2.76
38100,-8.14
38200,-3.78
38300,5.74
38400,14.16
38500,-2.34
38600,1.36
38700,-2.32
38800,1.94
38900,7.46
39000,6.24
39100,-3.96
39200,-0.26
39300,-3.62
39400,-1.7
39500,5.32
39600,2.04
39700,2.12
39800,5.92
39900,-0.56
40000,-9.84
40100,-1.3
40200,-1.78
40300,-0.2
40400,6.8
40500,4.62
40600,-1.16
40700,0.28
40800,-18.22
40900,-3.28
41000,7.1
41100,4.5
41200,-4.88
41300,-2.44
41400,1.16
41500,2.16
41600,5.98
41700,11.74
41800,9.5
41900,1.88
42000,-5.0
42100,3.12
42200,6.84
42300,-9.22
42400,0.96
42500,-10.44
42600,-2.4
42700,0.28
42800,-12.1
42900,3.72
43000,1.06
43100,-3.08
43200,-1.82
43300,-0.54
43400,1.5
43500,0.04
43600,4.72
43700,-5.56
43800,-4.26
43900,5.4
44000,-8.86
44100,-10.38
44200,14.92
44300,-5.48
44400,-2.82
44500,-0.32
44600,2.94
44700,2.24
44800,-3.96
44900,-15.62
45000,-2.08
45100,0.46
45200,-5.38
45300,-0.5
45400,7.3
45500,5.74
45600,-6.36
45700,2.86
45800,4.58
45900,-6.62
46000,5.36
46100,1.22
46200,-12.8
46300,-2.0
46400,7.46
46500,4.8
46600,5.36
46700,5.68
46800,1.2
46900,-0.34
47000,5.18
47100,-0.08
47200,3.46
47300,0.78
47400,-4.92
47500,1.68
47600,-8.3
47700,-0.86
47800,-1.14
47900,-7.8
48000,-12.16
48100,8.82
48200,-1.62
48300,11.46
48400,-1.86
48500,5.42
48600,-3.74
48700,0.0
48800,-4.16
48900,-4.78
49000,3.34
49100,-1.08
49200,-3.96
49300,4.04
49400,-3.38
49500,1.42
49600,-6.72
49700,13.84
49800,2.4
49900,-6.34
